AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","dfccc43f-e6f1-4753-a7a1-5d5b6d54c184","Acanthurus olivaceus","AQV","17","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b08976d0-dd40-42ff-a931-6b4c103325b8","Acanthurus triostegus","AQT","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b2c60cd2-4201-4ab9-a32d-420d5a8562ee","Acanthurus xanthopterus","C11","6","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","6b653336-414d-416f-8510-327dfb52e012","Naso annulatus","C44","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","a12f4f93-c931-4c49-b717-4103f962ce24","Naso brevirostris","NAB","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b69faf06-0197-40b1-bb9e-f087786c6619","Naso hexacanthus","C47","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","7f17a928-894b-42c4-842f-6ad1f71e1375","Naso tonganus","C49","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","581ebfd3-4342-4773-a40a-aa9d271f40f9","Naso unicornis","NAS","43","60"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Balistidae","1cea2a46-fce7-40eb-bcae-91ced816397e","Balistoides viridescens","BDZ","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Balistidae","a3c9881d-3082-4908-b294-adf86168b362","Pseudobalistes flavimarginatus","UBV","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Belonidae","24bee632-6bd6-431e-b00c-22f6df4b9c18","Strongylura incisa","C81","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Caesionidae","9fcb9328-a306-4866-8ef5-7961a005eb16","Caesio caerulaurea","CJC","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","1437d356-d73f-45c5-9a33-4162c109a237","Atule mate","TUM","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","bef65d2d-6aaa-41ba-9991-315421233a84","Caranx ignobilis","NXI","6","23"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","3ee52832-203e-4b13-a76a-abd546c7e1e0","Caranx melampygus","NXM","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","6c272b4e-56b0-4fa2-9e9e-ba06c47de73f","Caranx papuensis","NXP","3","7"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","1cda078a-f4b9-46ce-b757-765f81a31adb","Caranx sexfasciatus","CXS","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","b10933b0-1bdf-4d40-bcb1-19b030863793","Ferdauia ferdau","CRF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","663db978-bc5b-4bef-97c7-b89c9acd8e27","Scomberoides lysan","OBY","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","82c53a74-d498-44b2-af87-443470fd87e7","Selar crumenophthalmus","BIS","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","ad85aa62-fa69-455b-b701-2bc840ae298b","Seriola rivoliana","YTL","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Chanidae","1b186c83-d5c7-4a28-bb16-a705af451335","Chanos chanos","MIL","6","12"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Coryphaenidae","a95bfafe-92d9-4fe1-91f6-9caa840d7bdd","Coryphaena hippurus","DOL","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","9a5a86dd-6ddd-4875-8c2b-1a1f2087b272","Cephalopholis argus","CFF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","43ebe834-7d68-4006-90f4-5dd541b8f6c8","Epinephelus chlorostigma","EFH","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","eb5c801a-2713-4f9d-bd76-c83faa235305","Epinephelus coeruleopunctatus","C21","4","11"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","2d0da7a5-ff75-4750-a8c5-531232ee7ff3","Epinephelus coioides","ENI","2","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","11119dac-0a90-40ad-af90-19ac8d888f2c","Epinephelus fasciatus","EEA","2","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","24fe5314-6250-4cb9-a497-eb10cfe66eec","Epinephelus fuscoguttatus","EWF","3","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","f82392d0-e23e-40e6-884b-cdfd290c8424","Epinephelus magniscuttis","EEJ","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","bcfeab3b-6202-4751-b116-15385eaef0e4","Epinephelus malabaricus","","5","8"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","7cab8cec-931e-4bd1-9197-64760b4411d7","Epinephelus merra","EER","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","e83b28cd-a485-4782-8cb6-0b2afd831cac","Epinephelus polyphekadion","EEK","8","9"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","17ba8de7-1836-4150-859b-1c3c4517efdd","Epinephelus retouti","EWR","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","37279603-266d-4e56-bc1f-37e782d4acc1","Plectropomus areolatus","EME","2","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","e4a19985-a7cb-4e89-b21b-b8d45d065e35","Plectropomus leopardus","EMO","6","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","7b045476-d437-40cd-9996-6797e6445bc9","Plectropomus maculatus","PLM","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","8f6439be-7c8d-4d5a-9740-baef2afb3656","Plectropomus sp.","IWX","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","f86033c3-fac1-4962-b7a1-63f98fe0becc","Variola louti","VRL","2","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Haemulidae","b06bc193-3b52-485f-9087-6e3c555f6837","Plectorhinchus chrysotaenia","C59","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Haemulidae","6354b1a3-8576-4223-836e-4dba55e7ed2a","Plectorhinchus lessonii","GFH","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","565dcd96-385d-44d1-888a-071907773f24","Myripristis berndti","YJW","4","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","cb46ed2a-1b9a-4049-ad1d-d685d22c6e13","Myripristis murdjan","HMJ","14","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","4f785925-8da1-4ce9-8106-bf35dc33bce9","Neoniphon opercularis","C51","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","c3a0d474-a1a3-49ad-ad4c-ae64210d0ad6","Sargocentron caudimaculatum","HSU","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","f2252d9e-5bcb-44e9-9ba0-f395ea9dc370","Sargocentron spiniferum","HVS","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Holocentridae","152a4f20-a37b-4f60-9b2f-7614579cd01a","Sargocentron tiere","C65","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Kyphosidae","ee59692e-5346-47f6-b6b7-af1c1fa94d47","Kyphosus cinerascens","KYC","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Labridae","1856e8a7-3fe6-4269-8b06-17e392bca91c","Cheilinus chlorourus","JBK","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Labridae","8c8a190b-5f96-48fb-aeed-afb135559dd2","Cheilinus fasciatus","HIF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","cef2314d-3b48-427c-bd88-10c5aa4afbde","Lethrinus atkinsoni","LTT","16","14"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","bcdd40f9-2ec0-493d-8f50-8089487d9bf8","Lethrinus erythracanthus","LXE","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","94964ace-f142-4e76-98eb-650c30718747","Lethrinus genivittatus","IDW","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","a394c286-4381-411d-9f12-c4ec98de58b4","Lethrinus harak","LTK","46","17"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","f18c6397-f46d-44c4-a63f-d8960cb3ebd6","Lethrinus lentjan","LTS","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","0bc719a6-c145-4238-bcbd-1bacccfece8d","Lethrinus nebulosus","LHN","2","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","26bc9792-286e-4ea8-950a-8b593edb7be8","Lethrinus obsoletus","LWO","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","6f388b61-9c69-4746-9e1c-cc52ffc6ec74","Lethrinus olivaceus","LHO","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","5136b954-0639-4a07-895f-c688a823bf4d","Lethrinus xanthochilus","LXN","3","8"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lethrinidae","0cfa1a3e-78ad-4d49-a3ba-fbd95ff6699b","Monotaxis grandoculis","MXG","4","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","80b82725-5d18-4874-a587-c51079eb73ed","Aphareus furca","AYF","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","28145257-b159-4a42-a742-f197f489ea5c","Aphareus rutilans","ARQ","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","c306df17-01e7-4459-8893-607131cf4a86","Etelis coruscans","ETC","1","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","91f199ea-77f9-4066-9965-85219699eee8","Lutjanus adetii","LDW","25","1514"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","a98406a7-817c-403b-8b48-9dc4626dd457","Lutjanus argentimaculatus","RES","12","19"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","5b990302-2249-49c0-99a1-5ba911c5065d","Lutjanus bohar","LJB","8","9"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","963cc35c-b599-4ac5-8139-e9c5df2008f7","Lutjanus carponotatus","C33","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","d8de1ff0-eb4b-47cf-a4cf-b331e83cd7a1","Lutjanus ehrenbergii","LWE","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","ad190024-b178-455d-9742-c240eea0965d","Lutjanus fulviflamma","LJF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","6e3a2f61-2e49-4a3d-861c-cc7645920455","Lutjanus fulvus","LJV","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","d791be4d-593f-42f0-9a97-8c8d2181b9fe","Lutjanus gibbus","LJG","15","18"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","e6fcac16-7c59-4f96-b3e5-80c606f154b8","Lutjanus kasmira","LVK","7","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","ba9ca15e-074c-4520-9536-d945762fb11c","Lutjanus malabaricus","MAL","6","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","91306f25-863e-4bac-9a0f-91e02946a038","Lutjanus monostigma","LJK","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","fd27b3cb-8ff7-4bd1-b9de-bca17446b194","Lutjanus quinquelineatus","LWQ","6","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Lutjanidae","09e43236-78f7-4da0-82d8-6a0b4accd323","Lutjanus rivulatus","LUV","2","9"
